date,generation_mwh,predicted_generation_mwh,abs_error_mwh,ape
2026-06-01,28913.463862381657,26676.40070514166,2237.063157239998,0.07737098425452117
2026-06-02,21737.3816973443,25210.55503587601,3473.1733385317093,0.15977882648838218
2026-06-03,24498.195376961667,24852.724827122383,354.5294501607168,0.014471655756901982
2026-06-04,27481.486324719514,26680.832611702834,800.6537130166798,0.029134294395732674
2026-06-05,26562.01317911011,25111.152412365638,1450.8607667444703,0.054621641701673065
2026-06-06,14981.407953839078,24570.551839203385,9589.143885364307,0.6400696059349368
2026-06-07,15015.847900292669,21964.621176487915,6948.773276195247,0.4627626306776729
2026-06-08,22004.608501020964,25467.97826938027,3463.3697683593055,0.1573929283131128
2026-06-09,25569.282080980985,25078.806986714633,490.47509426635224,0.019182200451031778
2026-06-10,28738.802803006856,26120.25028990268,2618.552513104176,0.09111557398731322
2026-06-11,28876.57415195997,25363.982659425765,3512.591492534204,0.12164155879605235
2026-06-12,26235.7052290622,25038.99375961119,1196.7114694510128,0.04561384796035038
2026-06-13,25272.886804256315,22241.855587889942,3031.031216366373,0.11993213279679249
2026-06-14,22648.340469972372,22005.16353632925,643.1769336431207,0.028398413318444136
2026-06-15,25108.346084811517,24861.585604839955,246.76047997156275,0.009827826936033533
2026-06-16,28553.831352327437,25106.87068449672,3446.9606678307173,0.12071797389633857
2026-06-17,24804.134946755865,24938.13678437865,134.0018376227854,0.005402399152819941
2026-06-18,26745.47404202939,26464.103800843757,281.37024118563204,0.010520293667013361
2026-06-19,17242.54333434443,25121.39627206229,7878.85293771786,0.45694262064137753
2026-06-20,23057.427047879108,22699.395227088182,358.03182079092585,0.015527830579165108
2026-06-21,26902.05470230847,22823.731405457245,4078.323296851224,0.15159895190092162
2026-06-22,26945.54574874574,26265.137369109012,680.4083796367267,0.025251237662105932
2026-06-23,24893.768749903524,25061.533095027415,167.76434512389096,0.006739210394751544
2026-06-24,27960.416577061584,24917.857409422857,3042.5591676387266,0.10881666084098363
2026-06-25,28581.420602244547,26406.344994472107,2175.07560777244,0.07610103213699698
2026-06-26,28263.832676236547,24997.424660333338,3266.408015903209,0.11556847414574158
2026-06-27,26417.631913262365,22893.829679938295,3523.8022333240697,0.13338827056466881
2026-06-28,24016.243537933373,22720.921451803315,1295.3220861300579,0.0539352494524846
2026-06-29,27871.656170060847,24816.77228213907,3054.8838879217765,0.1096053951470336
2026-06-30,29103.637238524938,25178.94361364752,3924.693624877418,0.1348523414002096
